timestamp,reqNum,,,,
1543762841,70,,,,10525
1543762842,61,,,,10526
1543762843,46,,,,10527
1543762844,60,,,,10528
1543762845,17,,,,10529
1543762846,10,,,,10530
1543762847,22,,,,10531
1543762848,20,,,,10532
1543762849,25,,,,10533
1543762850,14,,,,10534
1543762851,10,,,,10535
1543762852,15,,,,10536
1543762853,6,,,,10537
1543762854,20,,,,10538
1543762855,10,,,,10539
1543762856,22,,,,10540
1543762857,23,,,,10541
1543762858,30,,,,10542
1543762859,37,,,,10543
1543762860,21,,,,10544
1543762861,8,,,,10545
1543762862,31,,,,10546
1543762863,14,,,,10547
1543762864,54,,,,10548
1543762865,15,,,,10549
1543762866,14,,,,10550
1543762867,18,,,,10551
1543762868,6,,,,10552
1543762869,29,,,,10553
1543762870,7,,,,10554
1543762871,11,,,,10555
1543762872,48,,,,10556
1543762873,39,,,,10557
1543762874,62,,,,10558
1543762875,37,,,,10559
1543762876,95,,,,10560
1543762877,23,,,,10561
1543762878,92,,,,10562
1543762879,217,,,,10563
1543762880,127,,,,10564
1543762881,87,,,,10565
1543762882,232,,,,10566
1543762883,59,,,,10567
1543762884,15,,,,10568
1543762885,41,,,,10569
1543762886,2,,,,10570
1543762887,45,,,,10571
1543762888,71,,,,10572
1543762889,25,,,,10573
1543762890,97,,,,10574
1543762891,118,,,,10575
1543762892,45,,,,10576
1543762893,71,,,,10577
1543762894,26,,,,10578
1543762895,47,,,,10579
1543762896,23,,,,10580
1543762897,29,,,,10581
1543762898,85,,,,10582
1543762899,13,,,,10583
1543762900,104,,,,10584
1543762901,164,,,,10585
1543762902,6,,,,10586
1543762903,73,,,,10587
1543762904,18,,,,10588
1543762905,70,,,,10589
1543762906,19,,,,10590
1543762907,139,,,,10591
1543762908,5,,,,10592
1543762909,82,,,,10593
1543762910,23,,,,10594
1543762911,214,,,,10595
1543762912,163,,,,10596
1543762913,78,,,,10597
1543762914,123,,,,10598
1543762915,32,,,,10599
1543762916,16,,,,10600
1543762917,130,,,,10601
1543762918,9,,,,10602
1543762919,257,,,,10603
1543762920,19,,,,10604
1543762921,63,,,,10605
1543762922,98,,,,10606
1543762923,78,,,,10607
1543762924,3,,,,10608
1543762925,136,,,,10609
1543762926,130,,,,10610
1543762927,72,,,,10611
1543762928,21,,,,10612
1543762929,108,,,,10613
1543762930,3,,,,10614
1543762931,109,,,,10615
1543762932,86,,,,10616
1543762933,3,,,,10617
1543762934,9,,,,10618
1543762935,71,,,,10619
1543762936,6,,,,10620
1543762937,85,,,,10621
1543762938,1,,,,10622
1543762939,72,,,,10623
1543762940,30,,,,10624
1543762941,82,,,,10625
1543762942,13,,,,10626
1543762943,52,,,,10627
1543762944,6,,,,10628
1543762945,75,,,,10629
1543762946,54,,,,10630
1543762947,50,,,,10631
1543762948,12,,,,10632
1543762949,96,,,,10633
1543762950,104,,,,10634
1543762951,102,,,,10635
1543762952,46,,,,10636
1543762953,50,,,,10637
1543762954,77,,,,10638
1543762955,2,,,,10639
1543762956,11,,,,10640
1543762957,139,,,,10641
1543762958,75,,,,10642
1543762959,13,,,,10643
1543762960,24,,,,10644
1543762961,211,,,,10645
1543762962,48,,,,10646
1543762963,44,,,,10647
1543762964,1,,,,10648
1543762965,8,,,,10649
1543762966,129,,,,10650
1543762967,42,,,,10651
