timestamp,reqNum,,
1543751815,110,,851
1543751816,107,,852
1543751817,106,,853
1543751818,79,,854
1543751819,88,,855
1543751820,112,,856
1543751821,93,,857
1543751822,108,,858
1543751823,93,,859
1543751824,65,,860
1543751825,85,,861
1543751826,87,,862
1543751827,99,,863
1543751828,83,,864
1543751829,95,,865
1543751830,99,,866
1543751831,81,,867
1543751832,119,,868
1543751833,111,,869
1543751834,110,,870
1543751835,90,,871
1543751836,105,,872
1543751837,81,,873
1543751838,98,,874
1543751839,80,,875
1543751840,84,,876
1543751841,78,,877
1543751842,87,,878
1543751843,74,,879
1543751844,73,,880
1543751845,114,,881
1543751846,107,,882
1543751847,75,,883
1543751848,89,,884
1543751849,100,,885
1543751850,96,,886
1543751851,58,,887
1543751852,39,,888
1543751853,29,,889
1543751854,26,,890
1543751855,27,,891
1543751856,46,,892
1543751857,84,,893
1543751858,105,,894
1543751859,87,,895
1543751860,101,,896
1543751861,72,,897
1543751862,75,,898
1543751863,87,,899
1543751864,98,,900
1543751865,94,,901
1543751866,103,,902
1543751867,98,,903
1543751868,99,,904
1543751869,102,,905
1543751870,119,,906
1543751871,119,,907
1543751872,110,,908
1543751873,87,,909
1543751874,102,,910
1543751875,96,,911
1543751876,91,,912
1543751877,94,,913
1543751878,95,,914
1543751879,105,,915
1543751880,92,,916
1543751881,94,,917
1543751882,98,,918
1543751883,92,,919
1543751884,106,,920
1543751885,102,,921
1543751886,90,,922
1543751887,93,,923
1543751888,93,,924
1543751889,74,,925
1543751890,62,,926
1543751891,60,,927
1543751892,48,,928
1543751893,33,,929
1543751894,13,,930
1543751895,21,,931
1543751896,27,,932
1543751897,27,,933
1543751898,26,,934
1543751899,27,,935
1543751900,27,,936
1543751901,27,,937
1543751902,28,,938
1543751903,26,,939
1543751904,27,,940
1543751905,25,,941
1543751906,24,,942
1543751907,26,,943
1543751908,24,,944
1543751909,23,,945
1543751910,26,,946
1543751911,27,,947
1543751912,24,,948
1543751913,26,,949
1543751914,26,,950
1543751915,27,,951
1543751916,27,,952
1543751917,28,,953
1543751918,27,,954
1543751919,28,,955
1543751920,26,,956
1543751921,23,,957
1543751922,27,,958
1543751923,27,,959
1543751924,26,,960
1543751925,23,,961
1543751926,26,,962
1543751927,26,,963
1543751928,27,,964
1543751929,26,,965
1543751930,26,,966
1543751931,27,,967
1543751932,26,,968
1543751933,21,,969
1543751934,26,,970
1543751935,25,,971
1543751936,26,,972
1543751937,25,,973
1543751938,24,,974
1543751939,25,,975
1543751940,23,,976
1543751941,26,,977
1543751942,26,,978
1543751943,25,,979
1543751944,27,,980
1543751945,23,,981
1543751946,25,,982
1543751947,26,,983
1543751948,25,,984
1543751949,26,,985
1543751950,26,,986
1543751951,27,,987
1543751952,27,,988
1543751953,26,,989
1543751954,27,,990
1543751955,26,,991
1543751956,26,,992
1543751957,23,,993
1543751958,25,,994
1543751959,25,,995
1543751960,26,,996
1543751961,26,,997
1543751962,26,,998
1543751963,25,,999
1543751964,26,,1000
1543751965,26,,1001
1543751966,27,,1002
1543751967,26,,1003
1543751968,26,,1004
1543751969,25,,1005
1543751970,26,,1006
1543751971,27,,1007
1543751972,23,,1008
1543751973,27,,1009
1543751974,24,,1010
1543751975,26,,1011
1543751976,26,,1012
1543751977,26,,1013
1543751978,25,,1014
1543751979,24,,1015
1543751980,27,,1016
1543751981,23,,1017
1543751982,24,,1018
1543751983,27,,1019
1543751984,25,,1020
1543751985,26,,1021
1543751986,26,,1022
1543751987,27,,1023
1543751988,22,,1024
1543751989,17,,1025
1543751990,24,,1026
1543751991,25,,1027
1543751992,24,,1028
1543751993,22,,1029
1543751994,16,,1030
1543751995,26,,1031
1543751996,24,,1032
1543751997,26,,1033
1543751998,26,,1034
1543751999,25,,1035
1543752000,22,,1036
1543752001,24,,1037
1543752002,18,,1038
1543752003,24,,1039
1543752004,26,,1040
1543752005,23,,1041
1543752006,26,,1042
1543752007,22,,1043
1543752008,25,,1044
1543752009,25,,1045
1543752010,25,,1046
1543752011,25,,1047
1543752012,27,,1048
1543752013,25,,1049
1543752014,27,,1050
1543752015,27,,1051
1543752016,24,,1052
1543752017,28,,1053
1543752018,26,,1054
1543752019,18,,1055
1543752020,24,,1056
1543752021,25,,1057
1543752022,25,,1058
1543752023,26,,1059
1543752024,27,,1060
1543752025,25,,1061
1543752026,27,,1062
1543752027,24,,1063
1543752028,26,,1064
1543752029,28,,1065
1543752030,25,,1066
1543752031,25,,1067
1543752032,17,,1068
1543752033,9,,1069
1543752034,7,,1070
1543752035,7,,1071
1543752036,7,,1072
1543752037,16,,1073
1543752038,27,,1074
1543752039,27,,1075
1543752040,27,,1076
1543752041,25,,1077
1543752042,27,,1078
1543752043,27,,1079
1543752044,28,,1080
1543752045,26,,1081
1543752046,27,,1082
1543752047,19,,1083
1543752048,25,,1084
1543752049,25,,1085
1543752050,26,,1086
1543752051,25,,1087
1543752052,25,,1088
1543752053,27,,1089
1543752054,25,,1090
1543752055,25,,1091
1543752056,26,,1092
1543752057,25,,1093
1543752058,25,,1094
1543752059,25,,1095
1543752060,25,,1096
1543752061,26,,1097
1543752062,26,,1098
1543752063,27,,1099
1543752064,25,,1100
1543752065,26,,1101
1543752066,26,,1102
1543752067,25,,1103
1543752068,28,,1104
1543752069,25,,1105
1543752070,26,,1106
1543752071,24,,1107
1543752072,26,,1108
1543752073,26,,1109
1543752074,26,,1110
1543752075,24,,1111
1543752076,26,,1112
1543752077,24,,1113
1543752078,27,,1114
1543752079,24,,1115
1543752080,26,,1116
1543752081,26,,1117
1543752082,26,,1118
1543752083,25,,1119
1543752084,25,,1120
1543752085,27,,1121
1543752086,27,,1122
1543752087,25,,1123
1543752088,26,,1124
1543752089,24,,1125
1543752090,26,,1126
1543752091,26,,1127
1543752092,25,,1128
1543752093,27,,1129
1543752094,26,,1130
1543752095,19,,1131
1543752096,2,,1132
